Id,Dataset Name,Agency,Instrument,Physical variable,var,Units,Grid Dimension,Variable Name in Web Interface,model,Dataset Start Time,Dataset End Time
105,NORESM Leaf Area Index,NCC,NORESM,Leaf Area Index,lai,1,2D,Leaf Area Index,NCC_NORESM,199412,200511
106,NORESM Surface Downwelling Longwave Radiation,NCC,NORESM,Surface Downwelling Longwave Radiation,rlds,W m-2,2D,Surface Downwelling Longwave Radiation,NCC_NORESM,199412,200511
107,NORESM Surface Downwelling Shortwave Radiation,NCC,NORESM,Surface Downwelling Shortwave Radiation,rsds,W m-2,2D,Surface Downwelling Shortwave Radiation,NCC_NORESM,199412,200511
108,NORESM Surface Upwelling Longwave Radiation,NCC,NORESM,Surface Upwelling Longwave Radiation,rlus,W m-2,2D,Surface Upwelling Longwave Radiation,NCC_NORESM,199412,200511
109,NORESM Surface Upwelling Shortwave Radiation,NCC,NORESM,Surface Upwelling Shortwave Radiation,rsus,W m-2,2D,Surface Upwelling Shortwave Radiation,NCC_NORESM,199412,200511
110,NORESM Surface Downwelling Clear-Sky Longwave Radiation,NCC,NORESM,Surface Downwelling Clear-Sky Longwave Radiation,rldscs,W m-2,2D,Surface Downwelling Clear-Sky Longwave Radiation,NCC_NORESM,199412,200511
111,NORESM Surface Downwelling Clear-Sky Shortwave Radiation,NCC,NORESM,Surface Downwelling Clear-Sky Shortwave Radiation,rsdscs,W m-2,2D,Surface Downwelling Clear-Sky Shortwave Radiation,NCC_NORESM,199412,200511
112,NORESM Surface Upwelling Clear-Sky Shortwave Radiation,NCC,NORESM,Surface Upwelling Clear-Sky Shortwave Radiation,rsuscs,W m-2,2D,Surface Upwelling Clear-Sky Shortwave Radiation,NCC_NORESM,199412,200511
113,NORESM TOA Incident Shortwave Radiation,NCC,NORESM,TOA Incident Shortwave Radiation,rsdt,W m-2,2D,TOA Incident Shortwave Radiation,NCC_NORESM,199412,200511
114,NORESM TOA Outgoing Longwave Radiation,NCC,NORESM,TOA Outgoing Longwave Radiation,rlut,W m-2,2D,TOA Outgoing Longwave Radiation,NCC_NORESM,199412,200511
115,NORESM TOA Outgoing Shortwave Radiation,NCC,NORESM,TOA Outgoing Shortwave Radiation,rsut,W m-2,2D,TOA Outgoing Shortwave Radiation,NCC_NORESM,199412,200511
116,NORESM TOA Outgoing Clear-Sky Longwave Radiation,NCC,NORESM,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,2D,TOA Outgoing Clear-Sky Longwave Radiation,NCC_NORESM,199412,200511
117,NORESM TOA Outgoing Clear-Sky Shortwave Radiation,NCC,NORESM,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,2D,TOA Outgoing Clear-Sky Shortwave Radiation,NCC_NORESM,199412,200511
118,NORESM Air Temperature,NCC,NORESM,Air Temperature,ta,K,3D,Air Temperature,NCC_NORESM,199412,200511
119,NORESM Specific Humidity,NCC,NORESM,Specific Humidity,hus,1,3D,Specific Humidity,NCC_NORESM,199412,200511
120,NORESM Cloud Ice Water Content,NCC,NORESM,Cloud Ice Water Content,cli,1,3D,Cloud Ice Water Content,NCC_NORESM,194912,200511
121,NORESM Cloud Liquid Water Content,NCC,NORESM,Cloud Liquid Water Content,clw,1,3D,Cloud Liquid Water Content,NCC_NORESM,194912,200511
122,NORESM Vertical Wind Velocity,NCC,NORESM,Vertical Wind Velocity,wap,m s-1,3D,Vertical Wind Velocity,NCC_NORESM,194912,200511
123,NORESM Relative Humidity,NCC,NORESM,Relative Humidity,hur,%,3D,Relative Humidity,NCC_NORESM,194912,200511
124,HadGEM2-ES Precipitation Flux,UKMO,HadGEM2-ES,Precipitation Flux,pr,kg m-2 s-1,2D,Precipitation Flux,UKMO_HadGEM2-ES,199412,200510
125,HadGEM2-ES Total Cloud Fraction,UKMO,HadGEM2-ES,Total Cloud Fraction,clt,%,2D,Total Cloud Fraction,UKMO_HadGEM2-ES,199412,200510
126,HadGEM2-ES Surface Temperature,UKMO,HadGEM2-ES,Surface Temperature,ts,K,2D,Surface Temperature,UKMO_HadGEM2-ES,199412,200510
127,HadGEM2-ES Sea Surface Temperature,UKMO,HadGEM2-ES,Sea Surface Temperature,tos,K,2D,Sea Surface Temperature,UKMO_HadGEM2-ES,199412,200511
128,HadGEM2-ES Eastward Near-Surface Wind,UKMO,HadGEM2-ES,Eastward Near-Surface Wind,uas,m s-1,2D,Eastward Near-Surface Wind,UKMO_HadGEM2-ES,199412,200510
